lon,lat,alt_m,time_s,drone_id
116.323000,39.895000,120.0,0,UAV-BETA
116.322596,39.895000,120.0,1,UAV-BETA
116.322192,39.895000,120.0,2,UAV-BETA
116.321788,39.895000,120.0,3,UAV-BETA
116.321384,39.895000,120.0,4,UAV-BETA
116.320980,39.895000,120.0,5,UAV-BETA
116.320576,39.895000,120.0,6,UAV-BETA
116.320172,39.895000,120.0,7,UAV-BETA
116.319768,39.895000,120.0,8,UAV-BETA
116.319364,39.895000,120.0,9,UAV-BETA
116.318960,39.895000,120.0,10,UAV-BETA
116.318556,39.895000,120.1,11,UAV-BETA
116.318152,39.895000,120.1,12,UAV-BETA
116.317747,39.895000,120.1,13,UAV-BETA
116.317343,39.895000,120.1,14,UAV-BETA
116.316939,39.895000,120.1,15,UAV-BETA
116.316535,39.895000,120.1,16,UAV-BETA
116.316131,39.895000,120.1,17,UAV-BETA
116.315727,39.895000,120.1,18,UAV-BETA
116.315323,39.895000,120.1,19,UAV-BETA
116.314919,39.895000,120.1,20,UAV-BETA
116.314515,39.895000,120.1,21,UAV-BETA
116.314111,39.895000,120.1,22,UAV-BETA
116.313707,39.895000,120.1,23,UAV-BETA
116.313303,39.895000,120.1,24,UAV-BETA
116.312899,39.895000,120.1,25,UAV-BETA
116.312495,39.895000,120.1,26,UAV-BETA
116.312091,39.895000,120.1,27,UAV-BETA
116.311687,39.895000,120.1,28,UAV-BETA
116.311283,39.895000,120.1,29,UAV-BETA
116.310879,39.895000,120.1,30,UAV-BETA
116.310475,39.895000,120.2,31,UAV-BETA
116.310071,39.895000,120.2,32,UAV-BETA
116.309667,39.895000,120.2,33,UAV-BETA
116.309263,39.895000,120.2,34,UAV-BETA
116.308859,39.895000,120.2,35,UAV-BETA
116.308455,39.895000,120.2,36,UAV-BETA
116.308051,39.895000,120.2,37,UAV-BETA
116.307646,39.895000,120.2,38,UAV-BETA
116.307242,39.895000,120.2,39,UAV-BETA
116.306838,39.895000,120.2,40,UAV-BETA
116.306434,39.895000,120.2,41,UAV-BETA
116.306030,39.895000,120.2,42,UAV-BETA
116.305626,39.895000,120.2,43,UAV-BETA
116.305222,39.895000,120.2,44,UAV-BETA
116.304818,39.895000,120.2,45,UAV-BETA
116.304414,39.895000,120.2,46,UAV-BETA
116.304010,39.895000,120.2,47,UAV-BETA
116.303606,39.895000,120.2,48,UAV-BETA
116.303202,39.895000,120.2,49,UAV-BETA
116.302798,39.895000,120.2,50,UAV-BETA
116.302394,39.895000,120.3,51,UAV-BETA
116.301990,39.895000,120.3,52,UAV-BETA
116.301586,39.895000,120.3,53,UAV-BETA
116.301182,39.895000,120.3,54,UAV-BETA
116.300778,39.895000,120.3,55,UAV-BETA
116.300374,39.895000,120.3,56,UAV-BETA
116.299970,39.895000,120.3,57,UAV-BETA
116.299566,39.895000,120.3,58,UAV-BETA
116.299162,39.895000,120.3,59,UAV-BETA
116.298758,39.895000,120.3,60,UAV-BETA
116.298354,39.895000,120.3,61,UAV-BETA
116.297949,39.895000,120.3,62,UAV-BETA
116.297545,39.895000,120.3,63,UAV-BETA
116.297141,39.895000,120.3,64,UAV-BETA
116.296737,39.895000,120.3,65,UAV-BETA
116.296333,39.895000,120.3,66,UAV-BETA
116.295929,39.895000,120.3,67,UAV-BETA
116.295525,39.895000,120.3,68,UAV-BETA
116.295121,39.895000,120.3,69,UAV-BETA
116.294717,39.895000,120.3,70,UAV-BETA
116.294313,39.895000,120.4,71,UAV-BETA
116.293909,39.895000,120.4,72,UAV-BETA
116.293505,39.895000,120.4,73,UAV-BETA
116.293101,39.895000,120.4,74,UAV-BETA
116.292697,39.895000,120.4,75,UAV-BETA
116.292293,39.895000,120.4,76,UAV-BETA
116.291889,39.895000,120.4,77,UAV-BETA
116.291485,39.895000,120.4,78,UAV-BETA
116.291081,39.895000,120.4,79,UAV-BETA
116.290677,39.895000,120.4,80,UAV-BETA
116.290273,39.895000,120.4,81,UAV-BETA
116.289869,39.895000,120.4,82,UAV-BETA
116.289465,39.895000,120.4,83,UAV-BETA
116.289061,39.895000,120.4,84,UAV-BETA
116.288657,39.895000,120.4,85,UAV-BETA
116.288253,39.895000,120.4,86,UAV-BETA
116.287848,39.895000,120.4,87,UAV-BETA
116.287444,39.895000,120.4,88,UAV-BETA
116.287040,39.895000,120.4,89,UAV-BETA
116.286636,39.895000,120.4,90,UAV-BETA
116.286232,39.895000,120.5,91,UAV-BETA
116.285828,39.895000,120.5,92,UAV-BETA
116.285424,39.895000,120.5,93,UAV-BETA
116.285020,39.895000,120.5,94,UAV-BETA
116.284616,39.895000,120.5,95,UAV-BETA
116.284212,39.895000,120.5,96,UAV-BETA
116.283808,39.895000,120.5,97,UAV-BETA
116.283404,39.895000,120.5,98,UAV-BETA
